title,link,bbox,zone,updated
NUALHD_1-0__LAZ_LAMB93_AE_2025-07-22,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_AE_2025-07-22,-5.15728394 48.29859295 -3.9525106 48.76660584,AE,2025-08-21T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_AF_2025-09-11,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_AF_2025-09-11,-5.00015444 47.91442127 -3.8936177 48.39350833,AF,2025-09-30T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_BE_2025-09-22,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_BE_2025-09-22,-4.0014567 48.39350835 -3.27919607 48.91022851,BE,2025-11-24T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_CE_2026-01-22,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_CE_2026-01-22,-3.33116778 48.43115321 -2.6049654 48.91973455,CE,2026-03-05T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_DE_2026-01-20,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_DE_2026-01-20,-2.63872644 48.46497097 -1.92991522 48.71882838,DE,2026-03-04T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_DF_2025-01-06,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_DF_2025-01-06,-2.60496538 48.01621246 -1.88804891 48.49495449,DF,2025-10-05T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_DH_2025-03-03,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_DH_2025-03-03,-2.64229334 47.12805218 -1.8064117 47.71359405,DH,2025-09-30T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_DI_2025-01-16,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_DI_2025-01-16,-2.2277692 46.93021586 -1.78722239 47.14753892,DI,2025-10-09T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_EF_2025-01-23,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_EF_2025-01-23,-1.92991506 48.04595133 -1.21799157 48.52109742,EF,2025-10-11T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_EG_2025-01-06,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_EG_2025-01-06,-1.88804888 47.59680335 -1.1824492 48.07188078,EG,2025-10-05T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_EH_2025-07-21,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_EH_2025-07-21,-1.84688691 47.14753903 -1.14750027 47.62252131,EH,2025-08-04T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_EI_2025-05-16,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_EI_2025-05-16,-1.80641154 46.85103054 -1.13575019 47.17304743,EI,2025-07-23T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_EJ_2025-07-24,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_EJ_2025-07-24,-2.40567024 46.26440944 -0.5397059 47.06984369,EJ,2025-08-20T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_EM_2025-07-01,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_EM_2025-07-01,-1.22499879 44.91606108 -0.34804713 45.61318509,EM,2025-09-04T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_EN_2025-10-14,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_EN_2025-10-14,-1.28383295 44.46366901 -0.94947686 44.92494237,EN,2025-11-17T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_EO_2025-10-08,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_EO_2025-10-08,-1.35489466 44.00937805 -0.91829536 44.47536732,EO,2025-11-17T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_EP_2025-09-24,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_EP_2025-09-24,-1.51845395 43.55206873 -0.88760197 44.02587094,EP,2025-11-07T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_EQ_2025-09-26,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_EQ_2025-09-26,-1.80131418 43.02572518 -0.85738532 43.57647994,EQ,2025-11-17T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_ER_2025-07-08,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_ER_2025-07-08,-1.32063479 42.94435138 -0.84545909 43.1272209,ER,2025-09-06T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_FD_2025-09-19,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_FD_2025-09-19,-1.32833407 48.97014272 -0.60869168 49.506507,FD,2025-11-17T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_FE_2025-10-15,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_FE_2025-10-15,-1.29091789 48.52109753 -0.57774566 48.99262345,FE,2025-10-31T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_FF_2025-07-22,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_FF_2025-07-22,-1.25414244 48.07188089 -0.54732553 48.5433944,FF,2025-09-05T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_FG_2024-12-20,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_FG_2024-12-20,-1.21799141 47.62252142 -0.51741799 48.09399561,FG,2025-10-14T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_FH_2025-06-13,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_FH_2025-06-13,-1.18244904 47.17304755 -0.48801021 47.64445567,FH,2025-07-14T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_FI_2025-01-24,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_FI_2025-01-24,-1.14750011 46.73772677 -0.45908978 47.19480299,FI,2025-10-03T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_FJ_2025-01-23,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_FJ_2025-01-23,-0.74330496 46.28545979 -0.43064468 46.74506574,FJ,2025-10-11T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_FK_2025-02-04,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_FK_2025-02-04,-1.57120502 45.38385561 -0.08481188 46.37871958,FK,2025-08-02T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_FN_2025-07-29,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_FN_2025-07-29,-0.98115805 44.47536743 -0.32139077 44.94582768,FN,2025-10-28T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_FO_2025-09-15,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_FO_2025-09-15,-0.94947671 44.02587105 -0.29515553 44.49608301,FO,2025-10-29T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_FP_2025-08-07,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_FP_2025-08-07,-0.91829521 43.57648006 -0.26933114 44.04641857,FP,2025-10-29T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_FQ_2025-09-15,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_FQ_2025-09-15,-0.88760182 43.12722092 -0.24390803 43.59686103,FQ,2025-11-04T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_FR_2025-03-21,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_FR_2025-03-21,-0.85738518 42.77682012 -0.22435078 43.14743667,FR,2025-06-06T14:59:00+01:00
NUALHD_1-0__LAZ_LAMB93_GD_2025-01-08,https://data.geopf.fr/telechargement/resource/LiDARHD-NUALID/NUALHD_1-0__LAZ_LAMB93_GD_2025-01-08,-0.6344693 48.99262357 0.07407438 49.36440138,GD,2025-07-26T14:59:00+01:00
