IDU,row_spacing,plant_spacing,rmse,match_rate,density_ratio,points_expected,points_found,unmatched_grid_pct,vines_missing_pct,vines_missing_pct_presence
840870000I1614,1.45,1.3,0.248,0.714,5.8,29,5,82.76,75.86,82.76
262750000E0193,1.9,1.25,0.482,0.68,9.7,1271,157,87.65,81.83,89.69
841330000G0674,2.1,1.15,0.519,0.48,2.52,1136,565,50.26,0.0,60.39
840300000D0607,1.25,1.35,0.189,0.714,183.4,917,5,99.45,99.24,99.45
841090000C0112,2.25,1.1,0.376,0.823,2.51,898,344,61.69,53.45,60.13
841380000F0469,2.0,1.25,0.552,0.745,6.31,1457,286,80.37,73.64,84.15
840560000B0053,2.35,1.05,0.524,0.606,3.85,3720,1161,68.79,48.49,74.03
830570000F0111,2.4,1.75,0.538,0.608,7.56,1059,183,82.72,71.58,86.78
263220000A0111,2.2,1.1,0.54,0.693,7.37,4832,828,82.86,75.29,86.42
830040000C1049,1.0,1.95,0.258,0.364,26.42,502,16,96.81,91.24,96.22
840390000G0372,1.75,1.25,0.443,0.701,2.59,888,354,60.14,43.13,61.37
84012000AO0360,1.95,1.1,0.098,0.667,57.25,229,4,98.25,97.38,98.25
26377000AT0279,1.6,1.2,0.433,0.643,13.97,1746,126,92.78,88.77,92.84
840160000L2553,1.8,1.2,0.502,0.66,8.28,17228,2346,86.38,79.35,87.93
07152000ZA0022,1.55,0.95,0.413,0.627,1.47,651,412,36.71,0.0,31.95
26377000AI0240,2.0,1.15,0.486,0.601,13.15,2169,185,91.47,85.8,92.39
830460000E0958,2.45,1.85,0.535,0.424,18.91,1267,89,92.98,83.43,94.71
830180000C1171,2.1,1.35,0.491,0.422,15.33,1303,97,92.56,82.35,93.48
841260000A0166,2.2,1.1,0.43,0.722,1.76,2628,1577,39.99,16.89,43.34
071520000D0003,1.8,1.15,0.456,0.497,2.19,591,296,49.92,0.0,54.31
84102000AH0036,1.9,1.25,0.498,0.592,27.89,6358,267,95.8,92.91,96.41
83096000AC0289,2.35,1.85,0.531,0.545,2.97,1326,584,55.96,19.23,66.37
830910000E0104,2.0,1.25,0.49,0.4,2.97,4158,1683,59.52,0.0,66.28
841360000A0227,2.15,1.05,0.34,0.98,13.02,2266,145,93.6,93.47,92.32
26220000AC0120,2.1,1.0,0.506,0.508,2.43,1847,933,49.49,0.6,58.8
070700000B0119,1.75,1.3,0.481,0.531,8.82,6844,878,87.17,75.85,88.66
841060000C0957,1.8,1.25,0.447,0.462,74.13,7858,114,98.55,96.86,98.65
83101000AC0489,2.15,0.85,0.498,0.524,2.22,2052,1073,47.71,0.15,54.92
840190000H0969,2.25,1.1,0.506,0.486,3.85,466,142,69.53,37.34,74.03
840220000B0367,1.9,1.25,0.478,0.45,13.36,3715,317,91.47,81.02,92.52
840290000E0854,2.2,1.1,0.515,0.582,3.88,16385,5185,68.36,45.65,74.26
831000000A1507,2.25,0.85,0.498,0.508,2.3,2184,1112,49.08,0.0,56.55
261190000H0334,2.1,0.7,0.118,0.8,49.43,346,4,98.84,98.55,97.98
840960000E0051,2.0,1.25,0.505,0.652,7.5,1305,202,84.52,76.25,86.67
830940000A0098,2.7,1.95,0.561,0.375,4.55,250,78,68.8,16.8,78.0
26345000AI0113,2.2,1.1,0.399,0.892,6.66,4220,593,85.95,84.24,84.98
07324000AX0442,1.5,0.95,0.386,0.531,1.69,1001,533,46.75,0.0,40.96
840100000A0825,2.3,1.4,0.573,0.52,4.72,4134,1238,70.05,42.4,78.83
831000000D0129,2.4,1.5,0.558,0.528,9.29,1848,281,84.79,71.21,89.23
84149000AI0058,1.55,1.15,0.329,0.6,23.52,588,24,95.92,93.2,95.75
840370000G0079,1.7,1.25,0.436,0.882,5.97,3292,563,82.9,80.62,83.26
83136000AL0040,2.3,1.2,0.496,0.404,19.51,2751,172,93.75,84.51,94.87
841000000B0165,2.0,1.25,0.504,0.466,5.57,3346,736,78.0,52.75,82.04
13050000CH0013,2.15,1.15,0.537,0.57,4.18,4656,1438,69.12,45.77,76.07
830320000E1337,2.45,1.3,0.545,0.598,15.32,2696,235,91.28,85.42,93.47
831400000F0611,2.15,1.25,0.55,0.511,2.62,3860,1960,49.22,0.6,61.81
841500000A0031,2.0,1.25,0.537,0.592,10.85,19615,2291,88.32,80.27,90.78
830270000H0148,2.25,1.1,0.407,0.733,1.94,1752,894,48.97,30.37,48.34
841170000A0436,2.1,1.15,0.511,0.525,3.53,399,148,62.91,29.32,71.68
263570000P0195,2.5,1.0,0.425,0.703,13.93,390,26,93.33,90.51,92.82
840870000B0525,1.8,1.2,0.474,0.472,4.89,8912,2030,77.22,51.74,79.57
07313000AH0316,1.7,1.35,0.498,0.619,6.4,2648,476,82.02,70.96,84.37
262750000H0246,1.9,0.95,0.474,0.57,1.87,3027,1754,42.05,0.0,46.55
830750000A1260,2.2,1.15,0.505,0.497,2.63,1674,804,51.97,3.35,61.95
830640000C0491,2.15,1.05,0.53,0.538,2.36,2954,1604,45.7,0.0,57.62
841330000G0664,2.1,1.1,0.514,0.484,2.52,4659,2249,51.73,0.3,60.31
830260000D0993,2.2,1.45,0.533,0.376,4.85,10073,2729,72.91,27.87,79.38
841090000B0057,2.15,1.15,0.479,0.703,2.61,719,310,56.88,38.66,61.61
841170000A0531,2.0,1.25,0.5,0.727,11.94,1636,157,90.4,86.8,91.63
072910000A0178,2.4,1.35,0.454,0.383,20.39,1101,59,94.64,86.01,95.1
840890000A0028,2.5,1.35,0.539,0.41,4.23,3168,991,68.72,23.71,76.36
84137000AC0212,2.05,1.2,0.528,0.552,6.87,2074,388,81.29,66.1,85.44
831430000E0317,2.55,1.15,0.393,0.678,13.37,2955,215,92.72,89.27,92.52
840390000G1255,2.0,1.1,0.489,0.527,2.96,1969,752,61.81,27.53,66.23
84004000BC0052,1.6,1.0,0.371,0.592,47.05,4658,90,98.07,96.74,97.87
84082000AS0030,2.5,1.0,0.464,0.837,2.97,4236,1447,65.84,59.21,66.31
830670000D1471,2.15,0.95,0.511,0.514,2.33,2766,1445,47.76,0.0,57.05
84137000AT0033,2.0,1.25,0.476,0.538,14.75,841,64,92.39,85.85,93.22
