IDU,row_spacing,plant_spacing,rmse,match_rate,density_ratio,points_expected,points_found,unmatched_grid_pct,vines_missing_pct,vines_missing_pct_presence
841460000B0204,2.3,1.4,0.499,0.482,4.0,380,67,82.37,63.42,75.0
841330000G0559,2.2,1.35,0.542,0.496,2.08,1029,396,61.52,22.45,51.99
840610000B0437,2.0,1.3,0.539,0.571,1.44,1269,716,43.58,1.18,30.34
261560000D0593,2.0,2.05,0.614,0.538,2.09,902,272,69.84,43.9,52.22
261560000B0414,1.35,1.5,0.417,0.492,1.43,664,335,49.55,0.0,29.97
13050000BH0207,1.9,1.75,0.403,0.448,16.94,542,13,97.6,94.65,94.1
262750000I0303,2.45,1.4,0.525,0.502,3.95,1293,223,82.75,65.66,74.71
262750000C0565,1.85,1.35,0.499,0.537,1.37,1981,1055,46.74,0.76,26.8
26054000AB0118,2.45,1.4,0.529,0.41,1.87,2595,1043,59.81,2.0,46.44
84053000ZK0023,2.4,1.4,0.381,0.802,2.7,2157,588,72.74,66.02,62.96
830040000B0853,2.3,1.35,0.351,0.687,1.24,3061,2094,31.59,0.46,19.08
13079000AO0042,2.55,2.1,0.624,0.648,1.93,233,79,66.09,47.64,48.07
830350000A0897,2.0,1.9,0.43,0.59,15.37,1783,79,95.57,92.48,93.49
84036000AY0009,2.05,1.4,0.5,0.53,3.64,1118,221,80.23,62.7,72.54
840370000B0627,2.65,1.65,0.566,0.56,2.18,331,102,69.18,45.02,54.08
831400000B2126,2.45,1.95,0.491,0.703,2.77,1358,369,72.83,61.34,63.84
072590000B0037,2.2,1.4,0.537,0.456,2.21,770,272,64.68,22.47,54.81
841330000D0592,2.2,1.35,0.531,0.445,1.93,2682,1136,57.64,4.85,48.06
840170000E1503,2.05,1.45,0.492,0.603,12.08,1703,91,94.66,91.13,91.72
83101000BD0069,2.45,1.7,0.472,0.617,1.37,2606,1546,40.68,3.84,26.94
830470000B1284,2.0,1.45,0.542,0.493,1.49,1737,860,50.49,0.0,33.05
840960000A0185,,,,,,,,,,
830310000E0404,2.1,2.0,0.597,0.465,1.4,826,350,57.63,8.96,28.57
840440000D1591,2.3,1.65,0.384,0.691,1.32,345,230,33.33,3.48,24.06
830920000E1028,2.1,1.9,0.495,0.409,9.91,981,63,93.58,84.3,89.91
841460000B0506,2.5,1.4,0.519,0.448,1.98,763,307,59.76,10.09,49.41
263570000O0137,2.45,1.35,0.514,0.485,3.36,534,126,76.4,51.31,70.22
261880000D0687,2.0,1.4,0.53,0.576,4.32,3616,567,84.32,72.76,76.85
13079000AL0114,2.35,1.9,0.361,0.294,90.9,1818,10,99.45,98.13,98.9
830260000D0119,1.6,1.75,0.465,0.411,1.8,584,233,60.1,2.91,44.52
26345000AD0182,2.0,1.4,0.531,0.602,12.0,15570,810,94.8,91.36,91.67
072790000B0388,2.0,1.65,0.425,0.785,1.75,3151,1322,58.05,46.52,42.91
841330000B0289,2.55,1.3,0.376,0.576,1.7,529,279,47.26,8.51,41.02
841370000B0566,2.4,1.4,0.371,0.688,1.57,218,119,45.41,20.64,36.24
840940000C0125,2.5,1.4,0.526,0.449,3.41,780,173,77.82,50.64,70.64
830570000B0580,2.3,2.1,0.591,0.373,1.99,2084,620,70.25,20.25,49.86
840890000F0279,2.0,1.35,0.53,0.447,1.87,1935,856,55.76,1.14,46.46
831340000A1650,2.5,2.1,0.605,0.38,2.41,9292,2404,74.13,32.0,58.52
840890000A0455,2.55,1.25,0.344,0.68,1.35,670,427,36.27,6.27,25.97
84104000AC0042,2.05,1.4,0.528,0.545,1.43,941,517,45.06,0.0,30.07
840390000A1010,2.25,1.65,0.474,0.54,2.93,6189,1467,76.3,56.12,65.84
263770000H0443,2.1,1.35,0.496,0.483,9.39,5249,405,92.28,84.04,89.35
84008000AN0131,2.35,1.6,0.532,0.544,4.72,1217,147,87.92,77.81,78.8
07168000AN0002,2.05,1.65,0.562,0.623,4.23,1357,182,86.59,78.48,76.34
840220000B0644,2.25,1.35,0.496,0.578,2.8,715,193,73.01,53.29,64.34
26220000AD0380,2.05,1.2,0.514,0.523,1.72,218,113,48.17,0.92,41.74
840170000E0289,2.35,1.6,0.518,0.529,5.37,1214,135,88.88,79.0,81.38
840700000D1095,2.6,1.6,0.538,0.383,2.01,1587,553,65.15,9.14,50.35
07152000AE0057,1.4,1.8,0.463,0.48,1.67,561,269,52.05,0.0,40.11
262750000F0341,2.5,1.4,0.543,0.488,2.75,602,163,72.92,44.52,63.62
840670000D0235,2.0,1.55,0.542,0.483,1.62,904,415,54.09,4.87,38.38
830310000F1697,2.5,2.1,0.605,0.445,4.28,8544,942,88.97,75.23,76.65
840220000D0016,2.65,1.4,0.534,0.447,2.03,75,34,54.67,0.0,50.67
830940000A0534,1.95,2.0,0.575,0.446,1.52,6171,2712,56.05,1.44,34.22
840390000A1144,2.2,1.65,0.585,0.603,1.65,988,373,62.25,37.35,39.37
840390000F0125,2.35,1.65,0.515,0.444,3.8,463,76,83.59,63.07,73.65
841130000C0336,2.5,1.35,0.449,0.602,1.49,2607,1422,45.45,9.32,33.1
13087000AI0253,2.1,2.1,0.587,0.377,2.52,595,156,73.78,30.42,60.34
841500000D0106,2.4,1.4,0.512,0.477,2.07,1778,635,64.29,25.2,51.8
261820000G0190,2.4,1.4,0.538,0.442,1.96,3393,1303,61.6,13.17,49.04
841060000A0860,,,,,,,,,,
840370000E0886,2.5,0.9,0.304,0.702,1.21,564,402,28.72,0.0,17.55
841260000F0324,1.95,1.2,0.513,0.588,1.75,440,211,52.05,18.41,42.73
830350000B0538,,,,,,,,,,
840370000B0693,2.25,1.65,0.576,0.521,1.4,10184,4465,56.16,15.92,28.57
841500000H1127,2.3,1.4,0.529,0.505,2.07,4795,1661,65.36,31.47,51.64
841060000A0640,2.25,1.35,0.562,0.528,1.46,663,348,47.51,0.6,31.52
263800000C1004,2.25,2.0,0.578,0.415,1.8,142,59,58.45,0.0,44.37
84081000AY0084,2.25,1.4,0.538,0.514,2.19,1458,481,67.01,35.87,54.32
262750000C0124,1.65,1.4,0.385,0.529,21.98,2220,46,97.93,96.08,95.45
841160000A0134,2.35,1.4,0.525,0.549,4.13,867,156,82.01,67.24,75.78
261880000B0418,2.05,1.4,0.523,0.557,4.18,1974,327,83.43,70.26,76.09
840140000A0522,2.5,1.35,0.507,0.458,2.3,2032,710,65.06,23.67,56.55
830910000D0459,2.2,1.95,0.585,0.473,1.42,3003,1401,53.35,1.43,29.37
830320000E1068,2.5,2.1,0.382,0.357,7.79,265,15,94.34,84.15,87.17
831000000C0599,2.05,1.95,0.5,0.473,10.39,997,53,94.68,88.77,90.37
840290000E0787,2.2,1.4,0.543,0.524,2.38,1415,451,68.13,39.15,57.95
84106000AD0040,1.95,1.35,0.473,0.39,16.38,1785,73,95.91,89.52,93.89
831080000G0230,2.3,2.15,0.548,0.335,2.15,1002,323,67.76,3.69,53.59
070700000B0274,2.2,2.0,0.493,0.373,4.04,214,38,82.24,52.34,75.23
84088000AT0216,2.45,1.6,0.557,0.468,1.82,1337,504,62.3,19.37,45.18
830850000C0058,2.5,2.15,0.518,0.695,1.52,1779,852,52.11,31.08,34.23
83063000AZ0091,2.0,2.0,0.587,0.473,1.37,2884,1359,52.88,0.35,27.18
830350000B1117,2.5,2.05,0.555,0.392,5.27,674,78,88.43,70.47,81.01
83148000BV0201,1.95,2.1,0.611,0.663,3.08,311,69,77.81,66.56,67.52
84099000AP0048,2.45,1.15,0.438,0.68,2.84,173,51,70.52,56.65,64.74
841260000F0671,2.15,1.4,0.505,0.587,5.69,956,121,87.34,78.45,82.43
840300000B0556,2.2,1.65,0.403,0.696,1.61,237,126,46.84,23.63,37.97
070700000B0870,,,,,,,,,,
071260000H0599,2.3,1.65,0.408,0.806,2.41,1052,303,71.2,64.26,58.46
841380000R0727,2.35,1.35,0.533,0.548,2.03,836,317,62.08,30.86,50.84
841380000D0227,2.3,1.4,0.454,0.695,2.32,10276,3359,67.31,53.0,56.99
840960000D0367,2.25,1.3,0.46,0.54,10.08,1451,95,93.45,87.87,90.08
07143000AL0537,2.1,2.15,0.608,0.511,1.91,451,142,68.51,38.36,47.67
840450000D0549,2.5,1.4,0.462,0.481,3.28,1016,242,76.18,50.49,69.49
840190000D0917,2.25,1.2,0.516,0.564,2.57,749,252,66.36,40.32,61.01
840450000A0148,2.5,1.4,0.521,0.606,1.5,974,510,47.64,13.66,33.26
130490000A0875,2.0,1.4,0.557,0.483,1.73,152,72,52.63,1.97,42.11
831450000E0184,2.05,1.95,0.495,0.378,6.84,335,28,91.64,77.91,85.37
26345000AI0025,2.25,1.35,0.523,0.541,2.06,689,255,62.99,31.64,51.38
84018000AH0197,1.9,1.5,0.44,0.61,7.92,776,61,92.14,87.11,87.37
83042000AW0151,2.35,2.1,0.588,0.377,1.71,2211,794,64.09,4.75,41.56
830990000D0168,2.3,2.1,0.594,0.385,1.65,1554,566,63.58,5.41,39.58
84129000AA0016,2.05,1.65,0.552,0.605,3.84,3655,566,84.51,74.42,73.93
26054000AM0307,2.2,1.4,0.377,0.676,1.28,1683,1095,34.94,3.74,21.98
13050000BZ0153,2.5,2.0,0.524,0.683,1.46,2627,1456,44.58,18.84,31.71
840290000C0760,2.25,1.4,0.542,0.563,2.28,1032,326,68.41,43.9,56.1
830270000G1180,2.2,2.15,0.517,0.53,1.55,1468,731,50.2,6.13,35.49
840300000B0140,2.2,1.4,0.359,0.693,5.6,1020,131,87.16,81.47,82.16
84119000AV0002,2.5,1.4,0.509,0.378,3.02,3921,968,75.31,34.66,66.92
840490000A0211,2.35,1.55,0.546,0.51,2.03,1092,366,66.48,34.25,50.64
840980000B0253,2.3,1.4,0.373,0.601,1.62,1876,960,48.83,14.82,38.27
263410000A0591,2.1,1.8,0.527,0.57,1.46,76,45,40.79,0.0,31.58
830480000B2688,2.3,1.95,0.593,0.495,1.88,425,143,66.35,32.0,46.82
841380000H0737,2.3,1.4,0.403,0.645,1.73,1188,556,53.2,27.44,42.17
83121000AR0559,2.5,1.7,0.386,0.788,5.41,974,141,85.52,81.62,81.52
84031000AD0424,2.35,1.35,0.388,0.397,21.51,1054,31,97.06,92.6,95.35
26071000AC0309,2.4,1.95,0.55,0.546,1.8,545,220,59.63,26.06,44.4
84135000AP0056,2.15,1.4,0.504,0.657,1.57,1964,979,50.15,24.19,36.41
831160000B0221,2.25,2.0,0.482,0.25,51.13,2352,19,99.19,96.77,98.04
840420000D0474,2.15,1.35,0.514,0.475,2.8,1924,522,72.87,42.83,64.35
84137000BC0065,2.45,1.4,0.393,0.689,1.88,723,299,58.64,39.97,46.75
26345000AZ0243,2.5,1.4,0.522,0.535,3.91,508,100,80.31,63.19,74.41
840560000A0315,2.15,1.4,0.509,0.603,1.54,1306,639,51.07,18.84,35.07
841330000F0865,2.4,1.35,0.533,0.477,2.32,1563,501,67.95,32.82,56.88
831400000B0689,2.15,1.85,0.487,0.426,30.14,3436,72,97.9,95.08,96.68
